,callsign,icao24,last_position,filter,count
40523,WJA2060,c0817c,2022-01-14 17:40:40.819000064+00:00,False,0
40524,WJA2060,c0817c,2022-01-14 17:40:41.749000192+00:00,False,0
40525,WJA2060,c0817c,2022-01-14 17:40:42.778000128+00:00,False,0
40526,WJA2060,c0817c,2022-01-14 17:40:43.709000192+00:00,False,0
40527,WJA2060,c0817c,2022-01-14 17:40:44.744999936+00:00,False,0
40528,WJA2060,c0817c,2022-01-14 17:40:45.322000128+00:00,False,0
40529,WJA2060,c0817c,2022-01-14 17:40:46.967000064+00:00,False,0
40530,WJA2060,c0817c,2022-01-14 17:40:47.947000064+00:00,False,0
40531,WJA2060,c0817c,2022-01-14 17:40:48.440999936+00:00,False,0
40532,WJA2060,c0817c,2022-01-14 17:40:49.712000+00:00,False,0
40533,WJA2060,c0817c,2022-01-14 17:40:50.627000064+00:00,False,0
40534,WJA2060,c0817c,2022-01-14 17:40:51.656000+00:00,False,0
40535,WJA2060,c0817c,2022-01-14 17:40:52.824000+00:00,False,0
40536,WJA2060,c0817c,2022-01-14 17:40:53.816000+00:00,False,0
40537,WJA2060,c0817c,2022-01-14 17:40:54.416000+00:00,False,0
40538,WJA2060,c0817c,2022-01-14 17:40:55.411000064+00:00,False,0
40539,WJA2060,c0817c,2022-01-14 17:40:56.770999808+00:00,False,0
40540,WJA2060,c0817c,2022-01-14 17:40:57.727000064+00:00,False,0
40541,WJA2060,c0817c,2022-01-14 17:40:58.744999936+00:00,False,0
40542,WJA2060,c0817c,2022-01-14 17:40:59.931000064+00:00,False,0
40543,WJA2060,c0817c,2022-01-14 17:41:00.880999936+00:00,False,0
40544,WJA2060,c0817c,2022-01-14 17:41:01.787000064+00:00,False,0
40545,WJA2060,c0817c,2022-01-14 17:41:02.674000128+00:00,False,0
40546,WJA2060,c0817c,2022-01-14 17:41:03.724000+00:00,False,0
40547,WJA2060,c0817c,2022-01-14 17:41:04.719000064+00:00,False,0
40548,WJA2060,c0817c,2022-01-14 17:41:05.892000+00:00,False,0
40549,WJA2060,c0817c,2022-01-14 17:41:06.805999872+00:00,False,0
40550,WJA2060,c0817c,2022-01-14 17:41:07.967000064+00:00,False,0
40551,WJA2060,c0817c,2022-01-14 17:41:08.952000+00:00,False,0
40552,WJA2060,c0817c,2022-01-14 17:41:09.512000+00:00,False,0
40553,WJA2060,c0817c,2022-01-14 17:41:10.632999936+00:00,False,0
40554,WJA2060,c0817c,2022-01-14 17:41:11.698999808+00:00,False,0
40555,WJA2060,c0817c,2022-01-14 17:41:12.581000192+00:00,False,0
40556,WJA2060,c0817c,2022-01-14 17:41:13.760999936+00:00,False,0
